지번주소,Latitude,Longitude
서울특별시 마포구 서교동 468-26번지,37.5559804,126.9144622
서울특별시 마포구 서교동 468-26번지,37.5559804,126.9144622
서울특별시 마포구 서교동 468-26번지,37.5559804,126.9144622
서울특별시 마포구 합정동 431-30번지,37.5522306,126.908778
서울특별시 마포구 합정동 431-30번지,37.5522306,126.908778
서울특별시 마포구 합정동 436-18번지,37.5512688,126.908207
서울특별시 마포구 합정동 436-18번지,37.5512688,126.908207
서울특별시 서초구 서초동 1614-35번지,37.4889962,127.0220815
서울특별시 서초구 서초동 1640-16번지,37.4940156,127.0192554
서울특별시 서초구 서초동 1640-16번지,37.4940156,127.0192554
서울특별시 서초구 서초동 1341-15번지,37.488296,127.0291095
서울특별시 서초구 서초동 1341-15번지,37.488296,127.0291095
서울특별시 서초구 서초동 1341-18번지,37.4881946,127.0287757
서울특별시 서초구 서초동 1341-18번지,37.4881946,127.0287757
서울특별시 서초구 서초동 1342-10번지,37.4877787,127.0274054
서울특별시 서초구 서초동 1342-10번지,37.4877787,127.0274054
서울특별시 서초구 서초동 1342-11번지,37.4877368,127.0272713
서울특별시 서초구 서초동 1342-11번지,37.4877368,127.0272713
서울특별시 서초구 서초동 1342-11번지,37.4877368,127.0272713
서울특별시 서초구 서초동 1342-9번지,37.4878183,127.0275375
서울특별시 서초구 서초동 1342-9번지,37.4878183,127.0275375
서울특별시 서초구 서초동 1359-18번지,37.4860444,127.0308593
서울특별시 서초구 서초동 1359-18번지,37.4860444,127.0308593
서울특별시 서초구 서초동 1470-4번지,37.4809299,127.0088044
서울특별시 마포구 망원동 405-35번지,37.5548107,126.9025753
서울특별시 마포구 연남동 224-22번지,37.5640623,126.926518
서울특별시 마포구 연남동 224-64번지,37.5637435,126.9263561
서울특별시 마포구 연남동 229-5번지,37.5638375,126.9247909
서울특별시 마포구 연남동 229-70번지,37.5633383,126.9238459
서울특별시 마포구 연남동 252-8번지,37.5635495,126.922128
서울특별시 마포구 연남동 252-8번지,37.5635495,126.922128
서울특별시 마포구 연남동 254-15번지,37.5633549,126.9233594
서울특별시 용산구 원효로3가 26-3번지,37.5347546,126.9582474
서울특별시 용산구 이태원동 72-19번지,37.5337381,126.9930929
서울특별시 용산구 이태원동 212-26번지,37.5393478,126.9914492
서울특별시 용산구 이태원동 212-64번지,37.538247,126.9917485
서울특별시 용산구 이태원동 212-64번지,37.538247,126.9917485
서울특별시 용산구 이태원동 348번지,37.5370211,126.9879487
서울특별시 용산구 이태원동 348번지,37.5370211,126.9879487
서울특별시 용산구 이태원동 431-2번지,37.5358982,126.9875847
서울특별시 용산구 보광동 10-20번지,37.5274444,127.0009389
서울특별시 용산구 보광동 10-20번지,37.5274444,127.0009389
서울특별시 용산구 보광동 231-53번지,37.5280027,126.9987899
서울특별시 용산구 보광동 231-53번지,37.5280027,126.9987899
서울특별시 용산구 보광동 231-73번지,37.5276806,126.9987681
서울특별시 용산구 보광동 231-74번지,37.5276617,126.9988879
서울특별시 용산구 보광동 231-74번지,37.5276617,126.9988879
서울특별시 용산구 보광동 238-28번지,37.5302679,126.99767
서울특별시 용산구 보광동 238-28번지,37.5302679,126.99767
서울특별시 강북구 미아동 121-34번지,37.6259767,127.0273571
서울특별시 강북구 미아동 121-34번지,37.6259767,127.0273571
서울특별시 강북구 미아동 121-35번지,37.6258972,127.0273885
서울특별시 강북구 미아동 121-36번지,37.6258172,127.0274197
서울특별시 중구 신당동 432-1102번지,37.5552091,127.0076894
서울특별시 중구 신당동 432-1820번지,37.5536875,127.0050046
서울특별시 중구 신당동 432-1820번지,37.5536875,127.0050046
서울특별시 중구 신당동 432-759번지,37.5553206,127.0075405
서울특별시 용산구 후암동 116-2번지,37.5497349,126.9756921
서울특별시 용산구 후암동 116-2번지,37.5497349,126.9756921
서울특별시 용산구 후암동 116-2번지,37.5497349,126.9756921
서울특별시 용산구 용산동2가 10-32번지,37.5440357,126.9812104
서울특별시 용산구 용산동2가 10-32번지,37.5440357,126.9812104
서울특별시 용산구 용산동2가 34-17번지,37.5434124,126.9846628
서울특별시 용산구 원효로3가 26-3번지,37.5347546,126.9582474
서울특별시 성동구 용답동 84-5번지,37.5650894,127.0515462
서울특별시 강동구 성내동 215-10번지,37.534001,127.1290944
서울특별시 강동구 성내동 215-10번지,37.534001,127.1290944
서울특별시 강동구 성내동 292-28번지,37.532311,127.1251875
서울특별시 강동구 성내동 292-28번지,37.532311,127.1251875
서울특별시 강동구 성내동 292-28번지,37.532311,127.1251875
서울특별시 강동구 성내동 517-25번지,37.5309947,127.1292788
서울특별시 강동구 성내동 517-25번지,37.5309947,127.1292788
서울특별시 마포구 도화동 4-60번지,37.5413747,126.953278
서울특별시 마포구 도화동 4-60번지,37.5413747,126.953278
서울특별시 마포구 상수동 321-7번지,37.5472207,126.9210291
서울특별시 마포구 상수동 93-27번지,37.5488339,126.9238874
서울특별시 마포구 상수동 93-27번지,37.5488339,126.9238874
서울특별시 종로구 창신동 76번지,37.5751958,127.0154351
서울특별시 중구 신당동 241-114번지,37.5638919,127.0141683
서울특별시 중구 신당동 241-117번지,37.5638171,127.0141274
서울특별시 중구 신당동 241-117번지,37.5638171,127.0141274
서울특별시 중구 신당동 241-117번지,37.5638171,127.0141274
서울특별시 중구 신당동 241-117번지,37.5638171,127.0141274
서울특별시 중구 신당동 241-138번지,37.5635765,127.0142372
서울특별시 강동구 고덕동 504-5번지,37.5604596,127.154959
서울특별시 강동구 고덕동 504-5번지,37.5604596,127.154959
서울특별시 강동구 고덕동 633-4번지,37.5608316,127.1530467
서울특별시 강동구 고덕동 633-4번지,37.5608316,127.1530467
서울특별시 강동구 고덕동 633-4번지,37.5608316,127.1530467
서울특별시 강동구 고덕동 642-5번지,37.5598681,127.1537776
서울특별시 강동구 고덕동 642-5번지,37.5598681,127.1537776
서울특별시 강동구 고덕동 642-5번지,37.5598681,127.1537776
서울특별시 강동구 고덕동 642-5번지,37.5598681,127.1537776
